Date,SPX,VNQ
3/31/2005,1180.59,51.82
4/1/2005,1172.92,51.85
4/4/2005,1176.12,51.62
4/5/2005,1181.39,51.5
4/6/2005,1184.07,51.77
4/7/2005,1191.14,52.24
4/8/2005,1181.2,52
4/11/2005,1181.21,52.05
4/12/2005,1187.76,52.75
4/13/2005,1173.79,52.81
4/14/2005,1162.05,52.31
4/15/2005,1142.62,52.7
4/18/2005,1145.98,52.62
4/19/2005,1152.78,52.88
4/20/2005,1137.5,52.75
4/21/2005,1159.95,52.74
4/22/2005,1152.12,53.15
4/25/2005,1162.1,53.73
4/26/2005,1151.83,53.8
4/27/2005,1156.38,54.22
4/28/2005,1143.22,54.09
4/29/2005,1156.85,54.81
5/2/2005,1162.16,54.77
5/3/2005,1161.17,54.85
5/4/2005,1175.65,54.9
5/5/2005,1172.63,55.6
5/6/2005,1171.35,54.9
5/9/2005,1178.84,55.85
5/10/2005,1166.22,55.85
5/11/2005,1171.11,55.88
5/12/2005,1159.36,55.32
5/13/2005,1154.05,55.3
5/16/2005,1165.69,55.56
5/17/2005,1173.8,56.05
5/18/2005,1185.56,56.6
5/19/2005,1191.08,57.35
5/20/2005,1189.28,57.47
5/23/2005,1193.86,57.6
5/24/2005,1194.07,56.8
5/25/2005,1190.01,56.1
5/26/2005,1197.62,55.86
5/27/2005,1198.78,56.15
5/31/2005,1191.5,56.74
6/1/2005,1202.22,57.39
6/2/2005,1204.29,57.19
6/3/2005,1196.02,57.2
6/6/2005,1197.51,57.63
6/7/2005,1197.26,58.12
6/8/2005,1194.67,58.36
6/9/2005,1200.93,58.42
6/10/2005,1198.11,58.3
6/13/2005,1200.82,58.57
6/14/2005,1203.91,59.05
6/15/2005,1206.58,59.18
6/16/2005,1210.96,59.24
6/17/2005,1216.96,59.91
6/20/2005,1216.1,59.86
6/21/2005,1213.61,59.35
6/22/2005,1213.88,59.26
6/23/2005,1200.73,59.05
6/24/2005,1191.57,58.93
6/27/2005,1190.69,58.21
6/28/2005,1201.57,58.5
6/29/2005,1199.85,58.69
6/30/2005,1191.33,58.7
7/1/2005,1194.44,59.2
7/5/2005,1204.99,59.95
7/6/2005,1194.94,59.8
7/7/2005,1197.87,59.86
7/8/2005,1211.86,60.88
7/11/2005,1219.44,61.62
7/12/2005,1222.21,61.61
7/13/2005,1223.29,61.25
7/14/2005,1226.5,60.23
7/15/2005,1227.92,60.48
7/18/2005,1221.13,60.64
7/19/2005,1229.35,61.1
7/20/2005,1235.2,61.64
7/21/2005,1227.04,60.77
7/22/2005,1233.68,61.25
7/25/2005,1229.03,61.25
7/26/2005,1231.16,61.93
7/27/2005,1236.79,62.1
7/28/2005,1243.72,62.97
7/29/2005,1234.18,62.89
8/1/2005,1235.35,62.85
8/2/2005,1244.12,63.3
8/3/2005,1245.04,63.15
8/4/2005,1235.86,62.08
8/5/2005,1226.42,59.93
8/8/2005,1223.13,57.77
8/9/2005,1231.38,58.04
8/10/2005,1229.13,58.6
8/11/2005,1237.81,59.38
8/12/2005,1230.39,59.33
8/15/2005,1233.87,59.89
8/16/2005,1219.34,60.24
8/17/2005,1220.24,59.76
8/18/2005,1219.02,59.36
8/19/2005,1219.71,59.15
8/22/2005,1221.73,59.33
8/23/2005,1217.59,59.58
8/24/2005,1209.59,59.79
8/25/2005,1212.37,59.86
8/26/2005,1205.1,59.12
8/29/2005,1212.28,59.13
8/30/2005,1208.41,59.31
8/31/2005,1220.33,60.34
9/1/2005,1221.59,60.88
9/2/2005,1218.02,60.72
9/6/2005,1233.39,62.02
9/7/2005,1236.36,61.89
9/8/2005,1231.67,61.49
9/9/2005,1241.48,61.8
9/12/2005,1240.56,61.61
9/13/2005,1231.2,61.14
9/14/2005,1227.16,61.09
9/15/2005,1227.73,61.12
9/16/2005,1237.91,61.25
9/19/2005,1231.02,60.77
9/20/2005,1221.34,60.3
9/21/2005,1210.2,58.97
9/22/2005,1214.62,59.29
9/23/2005,1215.29,59.34
9/26/2005,1215.63,59.13
9/27/2005,1215.66,58.98
9/28/2005,1216.89,58.41
9/29/2005,1227.68,59.5
9/30/2005,1228.81,60.45
10/3/2005,1226.7,60.27
10/4/2005,1214.47,59.25
10/5/2005,1196.39,58.33
10/6/2005,1191.49,58.25
10/7/2005,1195.9,57.65
10/11/2005,1184.87,56.66
10/12/2005,1177.68,55.64
10/13/2005,1176.84,55.65
10/14/2005,1186.57,56.94
10/17/2005,1190.1,57.27
10/18/2005,1178.14,56.72
10/19/2005,1195.76,57.36
10/20/2005,1177.8,56.45
10/21/2005,1179.59,56.99
10/24/2005,1199.38,58.15
10/25/2005,1196.54,57.91
10/26/2005,1191.38,57.32
10/27/2005,1178.9,56.7
10/28/2005,1198.41,58.41
10/31/2005,1207.01,58.71
11/1/2005,1202.76,57.41
11/2/2005,1214.76,57.94
11/3/2005,1219.94,57.77
11/4/2005,1220.14,57.44
11/7/2005,1222.81,57.71
11/8/2005,1218.59,57.55
11/9/2005,1220.65,58.2
11/10/2005,1230.96,59.58
11/11/2005,1234.72,59.82
11/14/2005,1233.76,59.77
11/15/2005,1229.01,59.74
11/16/2005,1231.21,59.4
11/17/2005,1242.8,60.38
11/18/2005,1248.27,60.6
11/21/2005,1254.85,60.9
11/22/2005,1261.23,61.68
11/23/2005,1265.61,61.95
11/25/2005,1268.25,62.16
11/28/2005,1257.46,61.48
11/29/2005,1257.48,61.52
11/30/2005,1249.48,61.15
12/1/2005,1264.67,62.04
12/2/2005,1265.08,61.73
12/5/2005,1262.09,61.5
12/6/2005,1263.7,61.3
12/7/2005,1257.37,60.98
12/8/2005,1255.84,61.44
12/9/2005,1259.37,61.6
12/12/2005,1260.43,61.64
12/13/2005,1267.43,61.94
12/14/2005,1272.74,62.06
12/15/2005,1270.94,61.59
12/16/2005,1267.32,61.81
12/19/2005,1259.92,61
12/20/2005,1259.62,61.08
12/21/2005,1262.79,61.45
12/22/2005,1268.12,61.8
12/23/2005,1268.66,62.01
12/27/2005,1256.54,60.11
12/28/2005,1258.17,60.04
12/29/2005,1254.42,59.73
12/30/2005,1248.29,59.56
1/3/2006,1268.8,60.76
1/4/2006,1273.46,61.21
1/5/2006,1273.48,61.68
1/6/2006,1285.45,62.26
1/9/2006,1290.15,62.79
1/10/2006,1289.69,63.17
1/11/2006,1294.18,63.27
1/12/2006,1286.06,63.09
1/13/2006,1287.61,62.31
1/17/2006,1282.93,62.06
1/18/2006,1277.93,62.05
1/19/2006,1285.04,62.83
1/20/2006,1261.49,62.22
1/23/2006,1263.82,62.5
1/24/2006,1266.86,62.97
1/25/2006,1264.68,63.01
1/26/2006,1273.83,63.22
1/27/2006,1283.72,63.93
1/30/2006,1285.19,63.88
1/31/2006,1280.08,64.05
2/1/2006,1282.46,64.35
2/2/2006,1270.84,63.9
2/3/2006,1264.03,63.34
2/6/2006,1265.02,63.58
2/7/2006,1254.78,63.08
2/8/2006,1265.65,62.8
2/9/2006,1263.78,63.1
2/10/2006,1266.99,63.16
2/13/2006,1262.86,63.25
2/14/2006,1275.53,63.6
2/15/2006,1280,64.16
2/16/2006,1289.38,64.59
2/17/2006,1287.24,65.28
2/21/2006,1283.03,65.2
2/22/2006,1292.67,65.93
2/23/2006,1287.79,65.82
2/24/2006,1289.43,65.47
2/27/2006,1294.12,65.48
2/28/2006,1280.66,65.24
3/1/2006,1291.24,65.62
3/2/2006,1289.14,65.54
3/3/2006,1287.23,65.18
3/6/2006,1278.26,66.36
3/7/2006,1275.88,65.56
3/8/2006,1278.47,65.9
3/9/2006,1272.23,66.44
3/10/2006,1281.42,67.04
3/13/2006,1284.13,66.6
3/14/2006,1297.48,67.08
3/15/2006,1303.02,68.35
3/16/2006,1305.33,69.06
3/17/2006,1307.25,69.68
3/20/2006,1305.08,68.11
3/21/2006,1297.23,67.32
3/22/2006,1305.04,67.47
3/23/2006,1301.67,67.65
3/24/2006,1302.95,67.55
3/27/2006,1301.61,66.77
3/28/2006,1293.23,67.51
3/29/2006,1302.89,68.77
3/30/2006,1300.25,67.78
3/31/2006,1294.87,67.92
4/3/2006,1297.81,66.75
4/4/2006,1305.93,66.29
4/5/2006,1311.56,66.65
4/6/2006,1309.04,66.38
4/7/2006,1295.5,65.38
4/10/2006,1296.62,64.76
4/11/2006,1286.57,64.6
4/12/2006,1288.12,64.6
4/13/2006,1289.12,63.75
4/17/2006,1285.33,63.57
4/18/2006,1307.28,65.12
4/19/2006,1309.93,65.92
4/20/2006,1311.46,65.99
4/21/2006,1311.28,66
4/24/2006,1308.11,65.66
4/25/2006,1301.74,65.16
4/26/2006,1305.41,64.96
4/27/2006,1309.72,65.37
4/28/2006,1310.61,65.61
5/1/2006,1305.19,64.82
5/2/2006,1313.21,64.16
5/3/2006,1308.12,64.28
5/4/2006,1312.25,65.19
5/5/2006,1325.76,66.03
5/8/2006,1324.66,66.32
5/9/2006,1325.14,66.29
5/10/2006,1322.85,66.05
5/11/2006,1305.92,64.83
5/12/2006,1291.24,64.01
5/15/2006,1294.5,64.89
5/16/2006,1292.08,64.64
5/17/2006,1270.32,63.43
5/18/2006,1261.81,62.94
5/19/2006,1267.03,63.09
5/22/2006,1262.07,62.92
5/23/2006,1256.58,62.23
5/24/2006,1258.57,62.33
5/25/2006,1272.88,63.5
5/26/2006,1280.16,64.26
5/30/2006,1259.87,63.73
5/31/2006,1270.09,63.84
6/1/2006,1285.71,65.01
6/2/2006,1288.22,65.76
6/5/2006,1265.29,66.08
6/6/2006,1263.85,65.29
6/7/2006,1256.15,65.75
6/8/2006,1257.93,65.61
6/9/2006,1252.3,66.04
6/12/2006,1237.44,65.25
6/13/2006,1223.69,64.58
6/14/2006,1230.04,64.03
6/15/2006,1256.16,65.37
6/16/2006,1251.54,65.24
6/19/2006,1240.13,64.79
6/20/2006,1240.12,64.45
6/21/2006,1252.2,65.2
6/22/2006,1245.6,64.74
6/23/2006,1244.5,64.25
6/26/2006,1250.56,64.25
6/27/2006,1239.2,64.18
6/28/2006,1246,64.37
6/29/2006,1272.87,65.8
6/30/2006,1270.2,66.3
7/3/2006,1280.19,67.53
7/5/2006,1270.91,67.42
7/6/2006,1274.08,67.58
7/7/2006,1265.48,67.3
7/10/2006,1267.34,67.83
7/11/2006,1272.43,67.94
7/12/2006,1258.6,68.12
7/13/2006,1242.28,67.2
7/14/2006,1236.2,66.28
7/17/2006,1234.49,66.28
7/18/2006,1236.86,67.28
7/19/2006,1259.81,68.32
7/20/2006,1249.13,67.76
7/21/2006,1240.29,66.65
7/24/2006,1260.91,67.75
7/25/2006,1268.88,68.1
7/26/2006,1268.4,68.34
7/27/2006,1263.2,68.12
7/28/2006,1278.55,69.11
7/31/2006,1276.66,68.88
8/1/2006,1270.92,68.52
8/2/2006,1277.41,68.39
8/3/2006,1280.27,69.04
8/4/2006,1279.36,70.13
8/7/2006,1275.77,69.44
8/8/2006,1271.48,68.41
8/9/2006,1265.95,67.99
8/10/2006,1271.81,68.04
8/11/2006,1266.74,67.62
8/14/2006,1268.21,68.27
8/15/2006,1285.58,69.05
8/16/2006,1295.43,69.18
8/17/2006,1297.48,69.08
8/18/2006,1302.3,69.39
8/21/2006,1297.52,69.79
8/22/2006,1298.82,70.28
8/23/2006,1292.99,69.74
8/24/2006,1296.06,70.01
