Date,T30y,T10y,T6m
4/1/2005,4.72,4.46,3.04
4/4/2005,4.73,4.47,3.05
4/5/2005,4.75,4.48,3.04
4/6/2005,4.73,4.44,3.02
4/7/2005,4.78,4.49,3.03
4/8/2005,4.77,4.5,3.05
4/11/2005,4.73,4.45,3.08
4/12/2005,4.66,4.38,3.07
4/13/2005,4.68,4.38,3.06
4/14/2005,4.73,4.37,3.05
4/15/2005,4.66,4.27,3.03
4/18/2005,4.62,4.27,3.06
4/19/2005,4.53,4.21,3.04
4/20/2005,4.59,4.22,3.02
4/21/2005,4.62,4.32,3.04
4/22/2005,4.6,4.26,3.05
4/25/2005,4.54,4.26,3.1
4/26/2005,4.59,4.28,3.09
4/27/2005,4.57,4.25,3.08
4/28/2005,4.52,4.19,3.06
4/29/2005,4.53,4.21,3.08
5/2/2005,4.53,4.21,3.1
5/3/2005,4.49,4.21,3.1
5/4/2005,4.6,4.2,3.08
5/5/2005,4.6,4.19,3.05
5/6/2005,4.62,4.28,3.1
5/9/2005,4.64,4.29,3.13
5/10/2005,4.6,4.23,3.11
5/11/2005,4.54,4.21,3.09
5/12/2005,4.54,4.18,3.08
5/13/2005,4.48,4.12,3.04
5/16/2005,4.49,4.13,3.09
5/17/2005,4.47,4.12,3.08
5/18/2005,4.42,4.07,3.06
5/19/2005,4.44,4.11,3.05
5/20/2005,4.44,4.13,3.08
5/23/2005,4.38,4.07,3.1
5/24/2005,4.35,4.04,3.08
5/25/2005,4.4,4.08,3.08
5/26/2005,4.45,4.08,3.06
5/27/2005,4.45,4.08,3.05
5/30/2005,.,.,.
5/31/2005,4.36,4,3.09
6/1/2005,4.27,3.91,3.03
6/2/2005,4.2,3.89,3.04
6/3/2005,4.26,3.98,3.04
6/6/2005,4.23,3.96,3.06
6/7/2005,4.18,3.92,3.05
6/8/2005,4.24,3.95,3.06
6/9/2005,4.23,3.98,3.05
6/10/2005,4.3,4.05,3.05
6/13/2005,4.39,4.09,3.13
6/14/2005,4.41,4.13,3.13
6/15/2005,4.44,4.12,3.13
6/16/2005,4.36,4.09,3.12
6/17/2005,4.35,4.09,3.13
6/20/2005,4.34,4.11,3.17
6/21/2005,4.32,4.06,3.18
6/22/2005,4.23,3.95,3.15
6/23/2005,4.27,3.96,3.17
6/24/2005,4.23,3.92,3.17
6/27/2005,4.25,3.9,3.23
6/28/2005,4.22,3.97,3.25
6/29/2005,4.24,3.99,3.23
6/30/2005,4.19,3.94,3.24
7/1/2005,4.28,4.06,3.28
7/4/2005,.,.,.
7/5/2005,4.34,4.11,3.33
7/6/2005,4.31,4.08,3.31
7/7/2005,4.28,4.05,3.27
7/8/2005,4.33,4.11,3.29
7/11/2005,4.3,4.11,3.36
7/12/2005,4.36,4.15,3.37
7/13/2005,4.38,4.17,3.35
7/14/2005,4.4,4.19,3.36
7/15/2005,4.39,4.18,3.37
7/18/2005,4.44,4.22,3.43
7/19/2005,4.41,4.2,3.43
7/20/2005,4.37,4.17,3.43
7/21/2005,4.48,4.28,3.49
7/22/2005,4.39,4.23,3.5
7/25/2005,4.44,4.25,3.56
7/26/2005,4.44,4.24,3.55
7/27/2005,4.42,4.27,3.55
7/28/2005,4.38,4.2,3.54
7/29/2005,4.42,4.28,3.57
8/1/2005,4.46,4.32,3.61
8/2/2005,4.52,4.34,3.61
8/3/2005,4.48,4.3,3.6
8/4/2005,4.5,4.32,3.6
8/5/2005,4.56,4.4,3.63
8/8/2005,4.58,4.42,3.7
8/9/2005,4.56,4.41,3.67
8/10/2005,4.56,4.4,3.66
8/11/2005,4.51,4.32,3.66
8/12/2005,4.42,4.24,3.67
8/15/2005,4.45,4.27,3.7
8/16/2005,4.41,4.23,3.68
8/17/2005,4.49,4.28,3.68
8/18/2005,4.4,4.21,3.66
8/19/2005,4.4,4.21,3.69
8/22/2005,4.4,4.22,3.7
8/23/2005,4.39,4.2,3.69
8/24/2005,4.38,4.19,3.69
8/25/2005,4.37,4.18,3.69
8/26/2005,4.38,4.2,3.7
8/29/2005,4.37,4.2,3.71
8/30/2005,4.34,4.16,3.67
8/31/2005,4.23,4.02,3.62
9/1/2005,4.28,4.02,3.51
9/2/2005,4.26,4.03,3.52
9/5/2005,.,.,.
9/6/2005,4.36,4.09,3.58
9/7/2005,4.43,4.15,3.61
9/8/2005,4.43,4.15,3.61
9/9/2005,4.36,4.14,3.61
9/12/2005,4.45,4.18,3.67
9/13/2005,4.38,4.14,3.65
9/14/2005,4.41,4.17,3.64
9/15/2005,4.51,4.22,3.65
9/16/2005,4.56,4.26,3.69
9/19/2005,4.55,4.25,3.72
9/20/2005,4.49,4.26,3.76
9/21/2005,4.47,4.19,3.71
9/22/2005,4.47,4.19,3.69
9/23/2005,4.47,4.25,3.7
9/26/2005,4.56,4.3,3.76
9/27/2005,4.56,4.3,3.75
9/28/2005,4.46,4.26,3.75
9/29/2005,4.5,4.29,3.76
9/30/2005,4.53,4.34,3.8
10/3/2005,4.58,4.39,3.89
10/4/2005,4.61,4.38,3.89
10/5/2005,4.54,4.36,3.87
10/6/2005,4.55,4.37,3.87
10/7/2005,4.53,4.35,3.87
10/10/2005,.,.,.
10/11/2005,4.56,4.39,3.96
10/12/2005,4.62,4.45,3.96
10/13/2005,4.66,4.48,3.95
10/14/2005,4.67,4.48,3.95
10/17/2005,4.68,4.5,4.03
10/18/2005,4.64,4.49,4.01
